"#","Domain","Length","IDN?"
"16","8qf.net","3","0"
"26","dm99.net","4","0"
"27","52f1.net","4","0"
"28","nj56.net","4","0"
"29","ed-z.net","4","0"
"30","vod2.net","4","0"
"31","uijs.net","4","0"
"32","45fa.net","4","0"
"33","bfhj.net","4","0"
"34","52fw.net","4","0"
"35","oc4u.net","4","0"
"36","pgui.net","4","0"
"37","anzk.net","4","0"
"38","dkit.net","4","0"
"39","wley.net","4","0"
"40","hnav.net","4","0"
"42","jnuo.net","4","0"
"43","ezdu.net","4","0"
"44","dj10.net","4","0"
"45","nfyw.net","4","0"
"46","gyhy.net","4","0"
"47","ly11.net","4","0"
"48","jhfm.net","4","0"
"49","ermp.net","4","0"
"50","cf-1.net","4","0"
"51","yajs.net","4","0"
"52","w2do.net","4","0"
"54","f3ng.net","4","0"
"55","55ii.net","4","0"
"56","elbx.net","4","0"
"57","pefw.net","4","0"
"58","am33.net","4","0"
"59","sqpy.net","4","0"
"61","vcod.net","4","0"
"62","gou5.net","4","0"
"63","xsj8.net","4","0"
"64","10i1.net","4","0"
"65","91al.net","4","0"
"66","swkf.net","4","0"
"67","m885.net","4","0"
"68","9tvb.net","4","0"
"69","sx18.net","4","0"
"70","yzfe.net","4","0"
"71","sbun.net","4","0"
"72","dhib.net","4","0"
"73","zp17.net","4","0"
"74","hydt.net","4","0"
"75","wkzc.net","4","0"
"76","rdbz.net","4","0"
"78","nigw.net","4","0"
"79","2guo.net","4","0"
"80","rvnu.net","4","0"
"81","3diy.net","4","0"
"82","58cu.net","4","0"
"83","tanp.net","4","0"
"84","nakj.net","4","0"
"85","hupn.net","4","0"
"86","zjth.net","4","0"
"87","zx5u.net","4","0"
"88","hsei.net","4","0"
"90","wywx.net","4","0"
"91","nolx.net","4","0"
"92","lsnm.net","4","0"
"93","p789.net","4","0"
"95","rpo0.net","4","0"
"96","77xs.net","4","0"
"97","qutw.net","4","0"
"98","zzml.net","4","0"
"99","jzay.net","4","0"
"100","wexc.net","4","0"
"101","teyy.net","4","0"
"102","cblo.net","4","0"
"103","okpf.net","4","0"
"104","ywmy.net","4","0"
"105","263g.net","4","0"
"106","tetl.net","4","0"
"107","kdyx.net","4","0"
"108","xcyi.net","4","0"
"109","wazs.net","4","0"
"110","oohd.net","4","0"
"111","vvri.net","4","0"
"112","foup.net","4","0"
"113","51wb.net","4","0"
"114","mvww.net","4","0"
"115","shi1.net","4","0"
"116","pmpg.net","4","0"
"117","jkre.net","4","0"
"119","rdqp.net","4","0"
"120","dg32.net","4","0"
"121","882y.net","4","0"
"122","125t.net","4","0"
"123","ajlm.net","4","0"
"124","axfa.net","4","0"
"125","qqga.net","4","0"
"129","sae7.net","4","0"
"130","wnxx.net","4","0"
"131","whhp.net","4","0"
"134","r7ty.net","4","0"
"136","ttdf.net","4","0"
"137","xndd.net","4","0"
"138","su50.net","4","0"
"140","lpxf.net","4","0"
"141","ps-f.net","4","0"
"142","m--b.net","4","0"
"143","i-wi.net","4","0"
"146","77yc.net","4","0"
"147","54ss.net","4","0"
"150","ar2n.net","4","0"
"151","no4b.net","4","0"
"152","glw5.net","4","0"
"155","eyg3.net","4","0"
"156","ik3v.net","4","0"
"157","w8pf.net","4","0"
"158","xpb0.net","4","0"
"159","du6f.net","4","0"
"160","acv9.net","4","0"
"161","pyr7.net","4","0"
"162","iwn1.net","4","0"
"163","xi5a.net","4","0"
"164","51gv.net","4","0"
"165","1isa.net","4","0"
"166","ışık.net","4","1"
"167","3-gt.net","4","0"
"168","nufg.net","4","0"
"169","egb1.net","4","0"
"170","psi1.net","4","0"
"173","pg30.net","4","0"
"174","a13c.net","4","0"
"175","prsq.net","4","0"
"176","ss2o.net","4","0"
"177","ga18.net","4","0"
"178","39jc.net","4","0"
"179","e6w1.net","4","0"
"180","1kqd.net","4","0"
"181","64bn.net","4","0"
"185","d1-t.net","4","0"
"187","lpd2.net","4","0"
"194","kdwy.net","4","0"
"196","emjad.net","5","0"
"197","obeez.net","5","0"
"198","epmic.net","5","0"
"199","onmic.net","5","0"
"200","twibo.net","5","0"
"201","doğan.net","5","1"
"202","edusm.net","5","0"
"203","spaii.net","5","0"
"204","durma.net","5","0"
"206","dijix.net","5","0"
"207","sehpa.net","5","0"
"208","t-t-d.net","5","0"
"209","seoru.net","5","0"
"210","mrgoo.net","5","0"
"211","encdc.net","5","0"
"212","bynoe.net","5","0"
"213","taegu.net","5","0"
"214","l-and.net","5","0"
"215","zuull.net","5","0"
"216","dodna.net","5","0"
"217","vzory.net","5","0"
"218","fixel.net","5","0"
"219","nt101.net","5","0"
"220","137la.net","5","0"
"221","toypa.net","5","0"
"222","ratrd.net","5","0"
"223","89168.net","5","0"
"224","kcl12.net","5","0"
"225","mlaus.net","5","0"
"226","cdcmx.net","5","0"
"227","wxzpg.net","5","0"
"228","jimii.net","5","0"
"229","rctin.net","5","0"
"230","cevio.net","5","0"
"231","inoon.net","5","0"
"232","99ttl.net","5","0"
"233","bonee.net","5","0"
"234","sjpdw.net","5","0"
"235","obidi.net","5","0"
"236","br-pt.net","5","0"
"237","taseo.net","5","0"
"238","dolho.net","5","0"
"239","ackii.net","5","0"
"241","tt175.net","5","0"
"242","afcsw.net","5","0"
"243","nyble.net","5","0"
"244","pentz.net","5","0"
"245","hxlsw.net","5","0"
"246","nx189.net","5","0"
"247","54647.net","5","0"
"248","sdbwh.net","5","0"
"249","sekhu.net","5","0"
"250","oribu.net","5","0"
